image,severity_count,severity_label,prob_crack,prob_dent,prob_paint_off,prob_scratch,pred_crack,pred_dent,pred_paint_off,pred_scratch,rc_impact_force,rc_metal_fatigue,rc_corrosion,dominant_cause
causal_data\aircraft damage\test\images\000616_NewConstruction_jpg.rf.76bbc76c2f21c9d3c5a74710098a464f.jpg,1,Minor — 1 damage instance(s),0.9871,0.0281,0.0044,0.0000,1,0,0,0,0.5255,0.6960,0.4932,metal_fatigue
causal_data\aircraft damage\test\images\100_3_JPG_jpg.rf.4fbc31dbbeb5a8fea3fbc015934ea0fb.jpg,3,Moderate — 3 damage instances,0.4673,0.9884,0.0001,0.0000,0,1,0,0,0.6488,0.5795,0.4920,impact_force
causal_data\aircraft damage\test\images\100_8_JPG_jpg.rf.e72e905bbcb089bf01cd4887dd486eb7.jpg,2,Minor — 2 damage instance(s),0.1089,0.9942,0.0003,0.0004,0,1,0,0,0.6593,0.5375,0.4588,impact_force
causal_data\aircraft damage\test\images\101_4_JPG_jpg.rf.61a5159aeae533005b54555d76bd7079.jpg,1,Minor — 1 damage instance(s),0.9895,0.0168,0.0047,0.0000,1,0,0,0,0.5251,0.7105,0.5173,metal_fatigue
causal_data\aircraft damage\test\images\102_11_JPG_jpg.rf.127b19e1b83747fdb425e89455713334.jpg,2,Minor — 2 damage instance(s),0.9894,0.0215,0.0048,0.0000,1,0,0,0,0.5392,0.7012,0.5261,metal_fatigue
causal_data\aircraft damage\test\images\103_21_JPG_jpg.rf.e3a35d19a9628209e193c987ed44fcc2.jpg,1,Minor — 1 damage instance(s),0.9863,0.0153,0.0070,0.0000,1,0,0,0,0.5168,0.7085,0.5004,metal_fatigue
causal_data\aircraft damage\test\images\103_4_JPG_jpg.rf.5afcc940ac1ce6e74e2dcbcc28e3c922.jpg,1,Minor — 1 damage instance(s),0.9872,0.0218,0.0051,0.0000,1,0,0,0,0.5332,0.7021,0.5126,metal_fatigue
causal_data\aircraft damage\test\images\103_8_JPG_jpg.rf.415146cd25eb67e85228c82624ed396d.jpg,1,Minor — 1 damage instance(s),0.9808,0.0408,0.0052,0.0000,1,0,0,0,0.5363,0.6830,0.4898,metal_fatigue
causal_data\aircraft damage\test\images\104_2_JPG_jpg.rf.aff1718ab89c9158f340b5cfbffacbf1.jpg,2,Minor — 2 damage instance(s),0.9881,0.0532,0.0022,0.0000,1,0,0,0,0.5562,0.6923,0.5302,metal_fatigue
causal_data\aircraft damage\test\images\104_9_JPG_jpg.rf.36180f6d673abb49676cc1884fcefa86.jpg,3,Moderate — 3 damage instances,0.9900,0.0277,0.0027,0.0000,1,0,0,0,0.5547,0.7094,0.5428,metal_fatigue
causal_data\aircraft damage\test\images\105_22_JPG_jpg.rf.fc25502620973b1d40ce2d6cb8404fd6.jpg,2,Minor — 2 damage instance(s),0.5196,0.9804,0.0003,0.0001,1,1,0,0,0.6293,0.5476,0.4571,impact_force
causal_data\aircraft damage\test\images\105_24_JPG_jpg.rf.7db7d4ab3e37606cc84de868fa65fa99.jpg,2,Minor — 2 damage instance(s),0.6356,0.9722,0.0003,0.0001,1,1,0,0,0.6282,0.5556,0.4671,impact_force
causal_data\aircraft damage\test\images\106_21_JPG_jpg.rf.16cb16c0c34b757c23d52e6182ee4cda.jpg,1,Minor — 1 damage instance(s),0.9804,0.0177,0.0104,0.0000,1,0,0,0,0.5267,0.6982,0.5070,metal_fatigue
causal_data\aircraft damage\test\images\107_22_JPG_jpg.rf.84d16c865ea996345baaa5265294edab.jpg,3,Moderate — 3 damage instances,0.9914,0.0370,0.0016,0.0000,1,0,0,0,0.5595,0.7094,0.5449,metal_fatigue
causal_data\aircraft damage\test\images\107_24_JPG_jpg.rf.6365eb9ec4b4e86ef0241074d9f00ee4.jpg,2,Minor — 2 damage instance(s),0.9916,0.0469,0.0016,0.0000,1,0,0,0,0.5439,0.6973,0.5206,metal_fatigue
causal_data\aircraft damage\test\images\107_2_JPG_jpg.rf.ef0dd21cc69966207a701247478bcb9a.jpg,1,Minor — 1 damage instance(s),0.9846,0.0408,0.0041,0.0000,1,0,0,0,0.5371,0.6880,0.5062,metal_fatigue
causal_data\aircraft damage\test\images\107_8_JPG_jpg.rf.74b88b3b265ba0431f0a0a4514d76766.jpg,4,Moderate — 4 damage instances,0.2747,0.9941,0.0001,0.0001,0,1,0,0,0.6757,0.5540,0.4919,impact_force
causal_data\aircraft damage\test\images\130_3_JPG_jpg.rf.1be4d6ec397b45849816512ee4e29e92.jpg,2,Minor — 2 damage instance(s),0.9875,0.0408,0.0030,0.0000,1,0,0,0,0.5470,0.6903,0.5107,metal_fatigue
causal_data\aircraft damage\test\images\134_11_JPG_jpg.rf.c64e93ac075841d5ea7ab0890597fd99.jpg,1,Minor — 1 damage instance(s),0.0120,0.9946,0.0010,0.0064,0,1,0,0,0.6533,0.5300,0.4387,impact_force
causal_data\aircraft damage\test\images\134_18_JPG_jpg.rf.3f42d446acc1fe6a5aaf7a51c7e4f3af.jpg,2,Minor — 2 damage instance(s),0.0123,0.9954,0.0008,0.0050,0,1,0,0,0.6607,0.5274,0.4460,impact_force
causal_data\aircraft damage\test\images\135_15_JPG_jpg.rf.973752acdc49bcb412d9406667d5f4ac.jpg,1,Minor — 1 damage instance(s),0.0083,0.9945,0.0013,0.0118,0,1,0,0,0.6525,0.5190,0.4277,impact_force
causal_data\aircraft damage\test\images\136_1_JPG_jpg.rf.f308d92359107cda94811a34a0720596.jpg,2,Minor — 2 damage instance(s),0.0343,0.9946,0.0005,0.0016,0,1,0,0,0.6583,0.5398,0.4543,impact_force
causal_data\aircraft damage\test\images\138_14_JPG_jpg.rf.ab57631bb25dc2dde9e010927cfa95bb.jpg,1,Minor — 1 damage instance(s),0.7195,0.7565,0.0018,0.0001,1,1,0,0,0.5802,0.6177,0.4644,metal_fatigue
causal_data\aircraft damage\test\images\138_2_JPG_jpg.rf.4072b91f40c90ed2c1c64395f9fea808.jpg,3,Moderate — 3 damage instances,0.9446,0.8011,0.0002,0.0000,1,1,0,0,0.5963,0.6160,0.4977,metal_fatigue
causal_data\aircraft damage\test\images\13_9_JPG_jpg.rf.435e6b0fb7a8ad6265fd8ec700fe69d8.jpg,2,Minor — 2 damage instance(s),0.9886,0.0163,0.0054,0.0000,1,0,0,0,0.5291,0.7100,0.5216,metal_fatigue
causal_data\aircraft damage\test\images\140_13_JPG_jpg.rf.2caaa8d3c5694e0272653be2e2bb6644.jpg,3,Moderate — 3 damage instances,0.9918,0.0431,0.0013,0.0000,1,0,0,0,0.5653,0.7086,0.5500,metal_fatigue
causal_data\aircraft damage\test\images\140_22_JPG_jpg.rf.6904491daecd404f72a029f881dc3776.jpg,3,Moderate — 3 damage instances,0.9917,0.0869,0.0008,0.0000,1,0,0,0,0.5716,0.6974,0.5448,metal_fatigue
causal_data\aircraft damage\test\images\142_17_JPG_jpg.rf.ecf4951e799218875b167902853dcf68.jpg,2,Minor — 2 damage instance(s),0.6770,0.9676,0.0002,0.0000,1,1,0,0,0.6188,0.5743,0.4693,impact_force
causal_data\aircraft damage\test\images\143_15_JPG_jpg.rf.668956b4edf72f6eb135f1aff7af15f4.jpg,3,Moderate — 3 damage instances,0.9035,0.9194,0.0002,0.0000,1,1,0,0,0.6123,0.5900,0.4928,impact_force
causal_data\aircraft damage\test\images\143_21_JPG_jpg.rf.7a7a265d83dc87d3f765ec812c6bb18c.jpg,3,Moderate — 3 damage instances,0.9204,0.9109,0.0001,0.0000,1,1,0,0,0.6116,0.5965,0.4988,impact_force
causal_data\aircraft damage\test\images\143_25_JPG_jpg.rf.19169a345525ed4a63b7eec2a400025c.jpg,1,Minor — 1 damage instance(s),0.6023,0.0025,0.8751,0.0026,1,0,1,0,0.5451,0.6718,0.5467,metal_fatigue
causal_data\aircraft damage\test\images\143_8_JPG_jpg.rf.2ac325ed2effa8c3c7c821238473d693.jpg,3,Moderate — 3 damage instances,0.9906,0.1743,0.0004,0.0000,1,0,0,0,0.5761,0.6892,0.5408,metal_fatigue
causal_data\aircraft damage\test\images\144_0_JPG_jpg.rf.fe3de0f724a745063bec2469754b55eb.jpg,4,Moderate — 4 damage instances,0.8737,0.9655,0.0001,0.0000,1,1,0,0,0.6401,0.6011,0.5161,impact_force
causal_data\aircraft damage\test\images\144_10_JPG_jpg.rf.3432a30916bba6c0dbcc4c30f0fb88c3.jpg,4,Moderate — 4 damage instances,0.8743,0.9672,0.0000,0.0000,1,1,0,0,0.6439,0.6044,0.5206,impact_force
causal_data\aircraft damage\test\images\144_12_JPG_jpg.rf.96e423ee08530d321a988050f8619fb4.jpg,3,Moderate — 3 damage instances,0.7388,0.9435,0.0003,0.0000,1,1,0,0,0.6157,0.6120,0.4924,impact_force
causal_data\aircraft damage\test\images\144_17_JPG_jpg.rf.3c3598d7a1d05a62a5a22a4c9bf0d28a.jpg,2,Minor — 2 damage instance(s),0.0280,0.9946,0.0006,0.0021,0,1,0,0,0.6547,0.5339,0.4466,impact_force
causal_data\aircraft damage\test\images\145_11_JPG_jpg.rf.9a28c9b8d6c1e14ad37d236b4197d772.jpg,4,Moderate — 4 damage instances,0.8999,0.9595,0.0000,0.0000,1,1,0,0,0.6303,0.6113,0.5148,impact_force
causal_data\aircraft damage\test\images\145_3_JPG_jpg.rf.c59b06f872b5e1c9bb1a7c93f0339280.jpg,2,Minor — 2 damage instance(s),0.9908,0.0364,0.0021,0.0000,1,0,0,0,0.5391,0.7007,0.5122,metal_fatigue
causal_data\aircraft damage\test\images\145_9_JPG_jpg.rf.e35cdeb1c1c7c3d910975de10c389474.jpg,4,Moderate — 4 damage instances,0.7999,0.9759,0.0001,0.0000,1,1,0,0,0.6407,0.5787,0.4983,impact_force
causal_data\aircraft damage\test\images\146_12_JPG_jpg.rf.bf0eff1ce23259a3af261f50f47dbe12.jpg,1,Minor — 1 damage instance(s),0.9848,0.0350,0.0046,0.0000,1,0,0,0,0.5315,0.6909,0.4957,metal_fatigue
causal_data\aircraft damage\test\images\146_25_JPG_jpg.rf.4908e108b14d2babf558bd98374b1d9f.jpg,1,Minor — 1 damage instance(s),0.9886,0.0186,0.0050,0.0000,1,0,0,0,0.5254,0.7067,0.5062,metal_fatigue
causal_data\aircraft damage\test\images\146_6_JPG_jpg.rf.c8c73caeb29eccabe492043b4b79652a.jpg,3,Moderate — 3 damage instances,0.8429,0.9629,0.0001,0.0000,1,1,0,0,0.6298,0.5908,0.4999,impact_force
causal_data\aircraft damage\test\images\146_8_JPG_jpg.rf.eea288b9907b39a2e2328c533c0eaae6.jpg,3,Moderate — 3 damage instances,0.7757,0.9681,0.0001,0.0000,1,1,0,0,0.6289,0.5977,0.4962,impact_force
causal_data\aircraft damage\test\images\147_2_JPG_jpg.rf.bc2a078a6d3e22f3b408b489ec0a69c4.jpg,1,Minor — 1 damage instance(s),0.9779,0.0658,0.0044,0.0000,1,0,0,0,0.5377,0.6718,0.4799,metal_fatigue
causal_data\aircraft damage\test\images\148_10_JPG_jpg.rf.84ac99ef17f6e31826ddd19745c7ef99.jpg,2,Minor — 2 damage instance(s),0.0180,0.9955,0.0006,0.0030,0,1,0,0,0.6599,0.5326,0.4529,impact_force
causal_data\aircraft damage\test\images\148_15_JPG_jpg.rf.831812831c77db2aba7584f03eba889f.jpg,2,Minor — 2 damage instance(s),0.0216,0.9948,0.0007,0.0033,0,1,0,0,0.6585,0.5266,0.4518,impact_force
causal_data\aircraft damage\test\images\148_19_JPG_jpg.rf.4f5d4fd4eafc6d37c3a391542b2ea050.jpg,2,Minor — 2 damage instance(s),0.0158,0.9951,0.0008,0.0043,0,1,0,0,0.6609,0.5242,0.4468,impact_force
causal_data\aircraft damage\test\images\148_25_JPG_jpg.rf.b25aa304d91a011fe89128ba981b1097.jpg,2,Minor — 2 damage instance(s),0.1085,0.9910,0.0005,0.0006,0,1,0,0,0.6295,0.5561,0.4480,impact_force
causal_data\aircraft damage\test\images\148_7_JPG_jpg.rf.3acb763e4f4f69f50747eb18ccbf563d.jpg,1,Minor — 1 damage instance(s),0.0133,0.9948,0.0009,0.0057,0,1,0,0,0.6550,0.5238,0.4388,impact_force
causal_data\aircraft damage\test\images\148_9_JPG_jpg.rf.73d91e3b8b0017e8c9bedbd6e649a106.jpg,3,Moderate — 3 damage instances,0.1228,0.9937,0.0003,0.0003,0,1,0,0,0.6550,0.5466,0.4689,impact_force
causal_data\aircraft damage\test\images\149_16_JPG_jpg.rf.5ce674141905d5d79d1c3ea2c7d4c8d7.jpg,2,Minor — 2 damage instance(s),0.0138,0.9950,0.0008,0.0048,0,1,0,0,0.6545,0.5290,0.4401,impact_force
causal_data\aircraft damage\test\images\149_1_JPG_jpg.rf.e1fdb62156ac438535255f4075fa110d.jpg,2,Minor — 2 damage instance(s),0.8242,0.8762,0.0005,0.0000,1,1,0,0,0.6044,0.6118,0.4886,metal_fatigue
causal_data\aircraft damage\test\images\149_2_JPG_jpg.rf.cf2a09b5287f4b1e1d8799e7dd7ef61f.jpg,2,Minor — 2 damage instance(s),0.3909,0.9783,0.0004,0.0001,0,1,0,0,0.6211,0.5779,0.4682,impact_force
causal_data\aircraft damage\test\images\149_8_JPG_jpg.rf.4a6eab4fcba8b0dad5c9dcc2acee6ec4.jpg,1,Minor — 1 damage instance(s),0.9828,0.1377,0.0017,0.0000,1,0,0,0,0.5531,0.6642,0.4886,metal_fatigue
causal_data\aircraft damage\test\images\150_20_JPG_jpg.rf.b8724df2f06c4a0b94d6cb72bb341ae2.jpg,1,Minor — 1 damage instance(s),0.9799,0.0548,0.0041,0.0000,1,0,0,0,0.5386,0.6802,0.4833,metal_fatigue
causal_data\aircraft damage\test\images\150_22_JPG_jpg.rf.b7eebc920696658efac0b7f2c9ec7498.jpg,1,Minor — 1 damage instance(s),0.9873,0.0260,0.0044,0.0000,1,0,0,0,0.5243,0.6993,0.4948,metal_fatigue
causal_data\aircraft damage\test\images\151_0_JPG_jpg.rf.5d7c589cf99b87ae0ba3ceacb7f287ac.jpg,3,Moderate — 3 damage instances,0.0088,0.9971,0.0004,0.0031,0,1,0,0,0.6789,0.5396,0.4691,impact_force
